County,Personal Income,Population,Per capita income ($),Dispensary Count,Population per Dispenary,Sales,Sales per Capita
Multnomah,49399774000,812855,60773,216.0,3763.0,227971779.28,280.45811279994587
Washington,38527576000,601592,64043,40.0,15040.0,79856029.61,132.7411760960917
Clackamas,25812808000,418187,61726,30.0,13940.0,41266150.45,98.67870223129844
Lane,18087217000,382067,47340,82.0,4659.0,76406684.49,199.9824232137295
Marion,15706672000,347818,45158,61.0,5702.0,55536765.42,159.6719129544762
Deschutes,11159204000,197692,56447,30.0,6590.0,43897085.12,222.04785787993444
Jackson,10669698000,220944,48291,48.0,4603.0,38287731.28,173.29156383517997
Linn,5816653000,129749,44830,21.0,6179.0,17816271.95,137.31336619164694
Yamhill,5086605000,107100,47494,12.0,8925.0,14714908.24,137.39410121381886
Douglas,4698282000,110980,42334,16.0,6936.0,14039923.51,126.50859172823932
Benton,4534024000,93053,48725,15.0,6204.0,11290678.54,121.33599711992089
Josephine,3810451000,87487,43554,11.0,7953.0,12331177.75,140.94868666201836
Polk,3692806000,86085,42897,11.0,7826.0,7509699.15,87.2358616483708
Umatilla,3268316000,77950,41928,4.0,19488.0,11665990.12,149.65991173829377
Coos,2994046000,64487,46429,24.0,2687.0,13490127.66,209.19142866004
Klamath,2839572000,68238,41613,5.0,13648.0,6415072.51,94.01026568773996
Columbia,2409293000,52354,46019,11.0,4759.0,8502053.25,162.39548554074187
Lincoln,2294997000,49962,45935,24.0,2082.0,16927104.39,338.7995754773628
Clatsop,1893791000,40224,47081,19.0,2117.0,12218496.84,303.761357398568
Hood River,1316983000,23382,56325,6.0,3897.0,5034645.06,215.32140364382857
Tillamook,1240385000,27036,45879,11.0,2458.0,7356489.03,272.0997569906791
Wasco,1163239000,26682,43596,5.0,5336.0,4537857.53,170.07186605202008
Malheur,1057034000,30571,34576,9.0,3397.0,20271094.57,663.0824824179779
Curry,1042502000,22925,45474,11.0,2084.0,8988198.9,392.06974482006547
Jefferson,866858000,24658,35155,5.0,4932.0,3884162.34,157.52138616270582
Baker,685166000,16124,42494,4.0,4031.0,30174052.05,1871.3750961299927
Lake,340162000,7869,43228,2.0,3934.0,1257931.14,159.8590850171559
Wallowa,331884000,7208,46044,1.0,7208.0,546632.53,75.83692147613763
Harney,309164000,7393,41818,2.0,3696.0,1681708.11,227.47302989314218
Grant,308754000,7199,42888,1.0,7199.0,868447.09,120.63440616752327
