Geographic Area,2020,2019,long,lat
"Adair Village city, Oregon",840,874,-123.2178759,44.6706762
"Adams city, Oregon",350,357,-118.5624734,45.767354
"Adrian city, Oregon",177,173,-117.0718261,43.7407155
"Albany city, Oregon","50,158","55,338",-123.1059282,44.6365107
"Amity city, Oregon","1,614","1,724",-123.2073257,45.1156724
"Antelope city, Oregon",46,50,-120.7228172,44.9106819
"Arlington city, Oregon",586,600,-120.2008761,45.716796
"Ashland city, Oregon","20,078","21,281",-122.7094767,42.1945758
"Astoria city, Oregon","9,477","10,015",-123.8312534,46.1878841
"Athena city, Oregon","1,126","1,144",-118.4905251,45.8117992
"Aumsville city, Oregon","3,584","4,180",-122.8709243,44.8409548
"Aurora city, Oregon",918,"1,039",-122.7559267,45.2309536
"Baker City city, Oregon","9,828","9,809",-117.8343848,44.7748748
"Bandon city, Oregon","3,066","3,148",-124.408448,43.1189978
"Banks city, Oregon","1,777","2,036",-123.1144104,45.6177996
"Barlow city, Oregon",135,147,-122.721691,45.2527766
"Bay City city, Oregon","1,286","1,404",-123.889296,45.5226042
"Beaverton city, Oregon","89,803","99,037",-122.8013771,45.4888761
"Bend city, Oregon","76,639","100,421",-121.3153096,44.0581728
"Boardman city, Oregon","3,220","3,749",-119.7005834,45.83985500000001
"Bonanza town, Oregon",415,426,-121.4061076,42.1987607
"Brookings city, Oregon","6,336","6,480",-124.2839819,42.0526114
"Brownsville city, Oregon","1,668","1,823",-122.9848108,44.39345710000001
"Burns city, Oregon","2,806","2,794",-119.0541032,43.5862606
"Butte Falls town, Oregon",423,457,-122.5655886,42.5431843
"Canby city, Oregon","15,829","17,932",-122.6921253,45.262316
"Cannon Beach city, Oregon","1,690","1,768",-123.9615274,45.8917738
"Canyon City town, Oregon",703,666,-118.9502315,44.3895995
"Canyonville city, Oregon","1,884","1,965",-123.2811748,42.9273406
"Carlton city, Oregon","2,007","2,182",-123.1796705,45.2942191
"Cascade Locks city, Oregon","1,144","1,161",-121.8906355,45.6698392
"Cave Junction city, Oregon","1,883","1,977",-123.6481235,42.1628912
"Central Point city, Oregon","17,169","18,848",-122.9164307,42.3759586
"Chiloquin city, Oregon",734,755,-121.8661258,42.5776364
"Clatskanie city, Oregon","1,737","1,830",-123.2039163,46.1041271
"Coburg city, Oregon","1,035","1,170",-123.0664761,44.1370689
"Columbia City city, Oregon","1,946","2,022",-122.8119157,45.89316770000001
"Condon city, Oregon",682,697,-124.408448,43.1189978
"Coos Bay city, Oregon","15,967","16,361",-124.2178903,43.3665007
"Coquille city, Oregon","3,866","3,938",-124.1876075,43.1770544
"Cornelius city, Oregon","11,869","12,822",-123.0470484,45.5202404
"Corvallis city, Oregon","54,462","58,856",-123.2620435,44.5645659
"Cottage Grove city, Oregon","9,686","10,465",-123.0595246,43.797623
"Cove city, Oregon",552,653,-117.8079872,45.2965256
"Creswell city, Oregon","5,031","5,540",-123.0245261,43.9179023
"Culver city, Oregon","1,357","1,680",-121.2130974,44.5256753
"Dallas city, Oregon","14,583","16,979",-123.3170472,44.9192844
"Dayton city, Oregon","2,534","2,744",-123.0755879,45.2208044
"Dayville town, Oregon",149,146,-119.5358103,44.4682007
"Depoe Bay city, Oregon","1,398","1,499",-124.0631713,44.8084467
"Detroit city, Oregon",202,225,-122.1497982,44.7340108
"Donald city, Oregon",979,"1,060",-122.8392624,45.2223418
"Drain city, Oregon","1,151","1,194",-123.3186987,43.65873089999999
"Dufur city, Oregon",604,639,-121.1306244,45.4531754
"Dundee city, Oregon","3,162","3,274",-123.0124765,45.2762108
"Dunes City city, Oregon","1,303","1,406",-124.1151165,43.8831751
"Durham city, Oregon","1,351","1,928",-122.755574,45.3934382
"Eagle Point city, Oregon","8,469","9,554",-122.8028177,42.4726258
"Echo city, Oregon",699,710,-119.195567,45.7423537
"Elgin city, Oregon","1,711","1,797",-117.917434,45.5648612
"Elkton city, Oregon",195,199,-123.568152,43.6376174
"Enterprise city, Oregon","1,940","1,996",-117.2787816,45.4262617
"Estacada city, Oregon","2,695","3,770",-122.3337489,45.2944742
"Eugene city, Oregon","156,185","172,622",-123.0867536,44.0520691
"Fairview city, Oregon","8,920","9,567",-122.4334645,45.5425323
"Falls City city, Oregon",947,"1,056",-123.4359382,44.8662285
"Florence city, Oregon","8,466","9,151",-124.099841,43.9826214
"Forest Grove city, Oregon","21,083","25,553",-123.1211134,45.526998
"Fossil city, Oregon",473,438,-120.2161373,44.99818639999999
"Garibaldi city, Oregon",779,822,-123.9109643,45.5598266
"Gaston city, Oregon",637,722,-123.1396641,45.4362839
"Gates city, Oregon",471,513,-122.4167483,44.7562329
"Gearhart city, Oregon","1,462","1,634",-123.9112502,46.0242745
"Gervais city, Oregon","2,464","2,762",-122.8975952,45.1081752
"Gladstone city, Oregon","11,497","12,324",-122.58586,45.3878715
"Glendale city, Oregon",874,897,-123.4233992,42.73622839999999
"Gold Beach city, Oregon","2,253","2,304",-124.4217741,42.4073334
"Gold Hill city, Oregon","1,220","1,296",-123.0506035,42.4317894
"Granite city, Oregon",38,36,-118.4177241,44.8093131
"Grants Pass city, Oregon","34,533","38,170",-123.3272963,42.43914059999999
"Grass Valley city, Oregon",164,165,-120.7856113,45.3601247
"Gresham city, Oregon","105,594","109,381",-122.4347608,45.5098502
"Haines city, Oregon",416,422,-117.9388288,44.9115341
"Halfway city, Oregon",288,292,-117.1146172,44.880715
"Halsey city, Oregon",904,"1,001",-123.1098145,44.3840122
"Happy Valley city, Oregon","13,903","22,553",-122.5309281,45.4470021
"Harrisburg city, Oregon","3,567","3,897",-123.170648,44.2740123
"Helix city, Oregon",184,184,-118.6582318,45.8506443
"Heppner city, Oregon","1,291","1,266",-119.5577997,45.3531842
"Hermiston city, Oregon","16,745","17,782",-119.2894604,45.8404101
"Hillsboro city, Oregon","91,611","109,128",-122.9360906,45.5272177
"Hines city, Oregon","1,563","1,545",-117.9388288,44.9115341
"Hood River city, Oregon","7,167","7,801",-121.528087,45.7067985
"Hubbard city, Oregon","3,173","3,570",-122.8078717,45.18234229999999
"Huntington city, Oregon",440,436,-117.2665686,44.3512726
"Idanha city, Oregon",134,161,-122.0786856,44.7026218
"Imbler city, Oregon",306,320,-117.9621587,45.4595816
"Independence city, Oregon","8,590","10,272",-123.1867656,44.8512305
"Ione city, Oregon",329,328,-119.8247508,45.5012431
"Irrigon city, Oregon","1,826","1,773",-119.4914118,45.8956885
"Island City city, Oregon",989,"1,033",-118.0446618,45.3409671
"Jacksonville city, Oregon","2,785","2,899",-122.9669865,42.31345839999999
"Jefferson city, Oregon","3,098","3,364",-123.0103708,44.7195662
"John Day city, Oregon","1,744","1,672",-118.95301,44.4159883
"Johnson City city, Oregon",566,629,-122.5806583,45.4049786
"Jordan Valley city, Oregon",181,177,-117.0543037,42.9740445
"Joseph city, Oregon","1,081","1,124",-117.2296127,45.3543187
"Junction City city, Oregon","5,392","6,229",-123.2056484,44.21929009999999
"Keizer city, Oregon","36,478","39,713",-123.0262077,44.9901194
"King City city, Oregon","3,111","4,408",-122.8044897,45.4026793
"Klamath Falls city, Oregon","20,840","21,753",-121.7816704,42.224867
"Lafayette city, Oregon","3,742","4,265",-123.1120354,45.2434748
"La Grande city, Oregon","13,082","13,614",-118.0877188,45.3245771
"Lake Oswego city, Oregon","36,619","39,822",-122.7163273,45.415734
"Lakeside city, Oregon","1,699","1,798",-124.1751135,43.5756704
"Lakeview town, Oregon","2,294","2,310",-120.345792,42.18877210000001
"La Pine city, Oregon","1,653","1,929",-121.503636,43.67039949999999
"Lebanon city, Oregon","15,518","17,417",-122.9070339,44.53651190000001
"Lexington town, Oregon",238,236,-119.6844694,45.4451315
"Lincoln City city, Oregon","7,930","9,170",-124.0158347,44.9612229
"Lonerock city, Oregon",21,22,-119.8830749,45.08902519999999
"Long Creek city, Oregon",197,190,-119.1041375,44.714042
"Lostine city, Oregon",213,223,-117.4296256,45.4873692
"Lowell city, Oregon","1,045","1,173",-122.7836822,43.9184592
"Lyons city, Oregon","1,161","1,290",-122.6150855,44.7745664
"McMinnville city, Oregon","32,187","34,743",-123.1987163,45.21011619999999
"Madras city, Oregon","6,046","7,051",-121.1294872,44.6334544
"Malin city, Oregon",805,832,-121.4086021,42.0126551
"Manzanita city, Oregon",598,661,-123.9351354,45.7184398
"Maupin city, Oregon",418,441,-121.0814491,45.1751205
"Maywood Park city, Oregon",752,849,-122.560839,45.5527846
"Medford city, Oregon","74,907","83,072",-122.8755949,42.3265152
"Merrill city, Oregon",844,855,-121.6005501,42.0251516
"Metolius city, Oregon",710,801,-121.1783761,44.58650919999999
"Mill City city, Oregon","1,855","1,968",-122.4781385,44.7540106
"Millersburg city, Oregon","1,329","2,557",-123.0640349,44.6868832
"Milton-Freewater city, Oregon","7,050","7,074",-118.3877435,45.9326346
"Milwaukie city, Oregon","20,291","20,990",-122.6322812,45.4465305
"Mitchell city, Oregon",130,121,-120.153341,44.566525
"Molalla city, Oregon","8,108","9,265",-122.5770888,45.1475308
"Monmouth city, Oregon","9,534","10,586",-123.2339888,44.8484524
"Monroe city, Oregon",617,654,-123.2967637,44.3140116
"Monument city, Oregon",128,125,-119.4211008,44.819314
"Moro city, Oregon",324,328,-120.731168,45.4840141
"Mosier city, Oregon",433,464,-121.397295,45.6834528
"Mount Angel city, Oregon","3,286","3,619",-122.8000917,45.0678986
"Mount Vernon city, Oregon",527,512,-119.1135709,44.4176525
"Myrtle Creek city, Oregon","3,439","3,483",-123.2931205,43.0201173
"Myrtle Point city, Oregon","2,514","2,559",-124.138992,43.064832
"Nehalem city, Oregon",271,297,-123.8940225,45.7201074
"Newberg city, Oregon","22,068","23,886",-122.9469463,45.3064258
"Newport city, Oregon","9,989","10,853",-124.0534505,44.6367836
"North Bend city, Oregon","9,695","9,768",-124.2242803,43.4065012
"North Plains city, Oregon","1,947","2,203",-122.9929252,45.5970172
"North Powder city, Oregon",439,460,-117.9199386,45.0284737
"Nyssa city, Oregon","3,267","3,185",-116.9948804,43.8768289
"Oakland city, Oregon",927,954,-123.2984101,43.4220625
"Oakridge city, Oregon","3,205","3,370",-122.4617159,43.7465124
"Ontario city, Oregon","11,366","10,994",-116.9629378,44.0265525
"Oregon City city, Oregon","31,859","37,339",-122.6050422,45.3364465
"Paisley city, Oregon",243,242,-120.5460827,42.69376339999999
"Pendleton city, Oregon","16,612","16,789",-118.7885967,45.672075
"Philomath city, Oregon","4,584","5,666",-123.3676014,44.540121
"Phoenix city, Oregon","4,538","4,653",-122.818092,42.2754058
"Pilot Rock city, Oregon","1,502","1,509",-118.8299848,45.4831849
"Portland city, Oregon","583,776","654,741",-122.6750261,45.5051064
"Port Orford city, Oregon","1,133","1,153",-124.4973267,42.7456644
"Powers city, Oregon",689,680,-124.073152,42.8834435
"Prairie City city, Oregon",909,876,-118.7099477,44.46321349999999
"Prescott city, Oregon",55,63,-122.8873307,46.0490021
"Prineville city, Oregon","9,253","10,734",-120.8344664,44.2998485
"Rainier city, Oregon","1,895","2,010",-122.9359092,46.0891587
"Redmond city, Oregon","26,215","32,421",-121.1739212,44.2726203
"Reedsport city, Oregon","4,154","4,112",-124.0967779,43.7023389
"Richland city, Oregon",156,177,-117.1685112,44.7690498
"Riddle city, Oregon","1,185","1,221",-123.3642332,42.9509507
"Rivergrove city, Oregon",289,372,-122.7307372,45.3861879
"Rockaway Beach city, Oregon","1,312","1,416",-123.9429115,45.613438
"Rogue River city, Oregon","2,131","2,331",-123.1719976,42.435954
"Roseburg city, Oregon","21,181","23,479",-123.3417381,43.216505
"Rufus city, Oregon",249,253,-120.7358936,45.6948466
"St. Helens city, Oregon","12,883","13,739",,
"St. Paul city, Oregon",421,455,-122.9767662,45.21122949999999
"Salem city, Oregon","154,637","174,365",-123.0350963,44.9428975
"Sandy city, Oregon","9,570","11,387",-122.2598627,45.3962999
"Scappoose city, Oregon","6,592","7,564",-122.878086,45.757732
"Scio city, Oregon",838,"1,002",-122.8492562,44.7048445
"Scotts Mills city, Oregon",357,393,-122.6684215,45.0428996
"Seaside city, Oregon","6,457","6,892",-123.9226385,45.9931636
"Seneca city, Oregon",199,229,-118.9716139,44.1345979
"Shady Cove city, Oregon","2,904","3,129",-122.8118529,42.61503889999999
"Shaniko city, Oregon",36,37,-120.7522665,45.0037364
"Sheridan city, Oregon","6,127","6,215",-123.3948291,45.0992814
