City,2020,2019,long,lat,Dispensary Count
Albany,"50,158","55,338",-123.1059282,44.6365107,8
Ashland,"20,078","21,281",-122.7094767,42.1945758,5
Astoria,"9,477","10,015",-123.8312534,46.1878841,8
Aurora,918,"1,039",-122.7559267,45.2309536,1
Bandon,"3,066","3,148",-124.408448,43.1189978,3
Beaverton,"89,803","99,037",-122.8013771,45.4888761,13
Bend,"76,639","100,421",-121.3153096,44.0581728,27
Brookings,"6,336","6,480",-124.2839819,42.0526114,8
Brownsville,"1,668","1,823",-122.9848108,44.3934571,1
Cannon Beach,"1,690","1,768",-123.9615274,45.8917738,3
Cave Junction,"1,883","1,977",-123.6481235,42.1628912,2
Central Point,"17,169","18,848",-122.9164307,42.3759586,1
Chiloquin,734,755,-121.8661258,42.5776364,1
Coos Bay,"15,967","16,361",-124.2178903,43.3665007,11
Coquille,"3,866","3,938",-124.1876075,43.1770544,3
Cornelius,"11,869","12,822",-123.0470484,45.5202404,1
Corvallis,"54,462","58,856",-123.2620435,44.5645659,15
Cottage Grove,"9,686","10,465",-123.0595246,43.797623,4
Depoe Bay,"1,398","1,499",-124.0631713,44.8084467,4
Drain,"1,151","1,194",-123.3186987,43.6587309,1
Dundee,"3,162","3,274",-123.0124765,45.2762108,1
Eugene,"156,185","172,622",-123.0867536,44.0520691,56
Florence,"8,466","9,151",-124.099841,43.9826214,4
Forest Grove,"21,083","25,553",-123.1211134,45.526998,4
Gates,471,513,-122.4167483,44.7562329,1
Gearhart,"1,462","1,634",-123.9112502,46.0242745,1
Gladstone,"11,497","12,324",-122.58586,45.3878715,1
Gold Beach,"2,253","2,304",-124.4217741,42.4073334,2
Gold Hill,"1,220","1,296",-123.0506035,42.4317894,1
Grants Pass,"34,533","38,170",-123.3272963,42.4391406,8
Gresham,"105,594","109,381",-122.4347608,45.5098502,5
Happy Valley,"13,903","22,553",-122.5309281,45.4470021,2
Hillsboro,"91,611","109,128",-122.9360906,45.5272177,8
Hines,"1,563","1,545",-117.9388288,44.9115341,2
Hood River,"7,167","7,801",-121.528087,45.7067985,6
Hubbard,"3,173","3,570",-122.8078717,45.1823423,1
Huntington,440,436,-117.2665686,44.3512726,2
Independence,"8,590","10,272",-123.1867656,44.8512305,3
John Day,"1,744","1,672",-118.95301,44.4159883,1
Joseph,"1,081","1,124",-117.2296127,45.3543187,1
Keizer,"36,478","39,713",-123.0262077,44.9901194,3
King City,"3,111","4,408",-122.8044897,45.4026793,1
Klamath Falls,"20,840","21,753",-121.7816704,42.224867,4
Lakeside,"1,699","1,798",-124.1751135,43.5756704,1
La Pine,"1,653","1,929",-121.503636,43.6703995,3
Lebanon,"15,518","17,417",-122.9070339,44.5365119,7
Lincoln City,"7,930","9,170",-124.0158347,44.9612229,8
Madras,"6,046","7,051",-121.1294872,44.6334544,5
Manzanita,598,661,-123.9351354,45.7184398,1
Medford,"74,907","83,072",-122.8755949,42.3265152,34
Milwaukie,"20,291","20,990",-122.6322812,45.4465305,8
Molalla,"8,108","9,265",-122.5770888,45.1475308,2
Monmouth,"9,534","10,586",-123.2339888,44.8484524,4
Myrtle Creek,"3,439","3,483",-123.2931205,43.0201173,1
Myrtle Point,"2,514","2,559",-124.138992,43.064832,2
Newberg,"22,068","23,886",-122.9469463,45.3064258,3
Newport,"9,989","10,853",-124.0534505,44.6367836,5
