City,2020,2019,long,lat,Dispensary Count,Population per Dispensary,County
Albany,50158,55338,-123.1059282,44.6365107,8,6269.75,Linn
Ashland,20078,21281,-122.7094767,42.1945758,5,4015.6,Jackson
Astoria,9477,10015,-123.8312534,46.1878841,8,1184.625,Clatsop
Aurora,918,1039,-122.7559267,45.2309536,1,918,Marion
Bandon,3066,3148,-124.408448,43.1189978,3,1022,Coos
Beaverton,89803,99037,-122.8013771,45.4888761,13,6907.923077,Washington
Bend,76639,100421,-121.3153096,44.0581728,27,2838.481481,Deschutes
Brookings,6336,6480,-124.2839819,42.0526114,8,792,Curry
Brownsville,1668,1823,-122.9848108,44.3934571,1,1668,Linn
Cannon Beach,1690,1768,-123.9615274,45.8917738,3,563.3333333,Clatsop
Cave Junction,1883,1977,-123.6481235,42.1628912,2,941.5,Josephine
Central Point,17169,18848,-122.9164307,42.3759586,1,17169,Jackson
Chiloquin,734,755,-121.8661258,42.5776364,1,734,Klamath
Coos Bay,15967,16361,-124.2178903,43.3665007,11,1451.545455,Coos
Coquille,3866,3938,-124.1876075,43.1770544,3,1288.666667,Coos
Cornelius,11869,12822,-123.0470484,45.5202404,1,11869,Washington
Corvallis,54462,58856,-123.2620435,44.5645659,15,3630.8,Benton
Cottage Grove,9686,10465,-123.0595246,43.797623,4,2421.5,Lane
Depoe Bay,1398,1499,-124.0631713,44.8084467,4,349.5,Lincoln
Drain,1151,1194,-123.3186987,43.6587309,1,1151,Douglas
Dundee,3162,3274,-123.0124765,45.2762108,1,3162,Yamhill
Eugene,156185,172622,-123.0867536,44.0520691,56,2789.017857,Lane
Florence,8466,9151,-124.099841,43.9826214,4,2116.5,Lane
Forest Grove,21083,25553,-123.1211134,45.526998,4,5270.75,Washington
Gates,471,513,-122.4167483,44.7562329,1,471,Marion
Gearhart,1462,1634,-123.9112502,46.0242745,1,1462,Clatsop
Gladstone,11497,12324,-122.58586,45.3878715,1,11497,Clackamas
Gold Beach,2253,2304,-124.4217741,42.4073334,2,1126.5,Curry
Gold Hill,1220,1296,-123.0506035,42.4317894,1,1220,Jackson
Grants Pass,34533,38170,-123.3272963,42.4391406,8,4316.625,Josephine
Gresham,105594,109381,-122.4347608,45.5098502,5,21118.8,Multnomah
Happy Valley,13903,22553,-122.5309281,45.4470021,2,6951.5,Clackamas
Hillsboro,91611,109128,-122.9360906,45.5272177,8,11451.375,Washington
Hines,1563,1545,-117.9388288,44.9115341,2,781.5,Harney
Hood River,7167,7801,-121.528087,45.7067985,6,1194.5,Hood River
Hubbard,3173,3570,-122.8078717,45.1823423,1,3173,Marion
Huntington,440,436,-117.2665686,44.3512726,2,220,Baker
Independence,8590,10272,-123.1867656,44.8512305,3,2863.333333,Polk
John Day,1744,1672,-118.95301,44.4159883,1,1744,Grant
Joseph,1081,1124,-117.2296127,45.3543187,1,1081,Wallowa
Keizer,36478,39713,-123.0262077,44.9901194,3,12159.33333,Marion
King City,3111,4408,-122.8044897,45.4026793,1,3111,Washington
