county,personal_income,population,per_capita_income,dispensary_count,population_per_dispenary,sales,sales_per_capita
Multnomah,49399774000,812855,60773,216,3763,227971779.3,280.4581128
Washington,38527576000,601592,64043,40,15040,79856029.61,132.7411761
Clackamas,25812808000,418187,61726,30,13940,41266150.45,98.67870223
Lane,18087217000,382067,47340,82,4659,76406684.49,199.9824232
Marion,15706672000,347818,45158,61,5702,55536765.42,159.671913
Deschutes,11159204000,197692,56447,30,6590,43897085.12,222.0478579
Jackson,10669698000,220944,48291,48,4603,38287731.28,173.2915638
Linn,5816653000,129749,44830,21,6179,17816271.95,137.3133662
Yamhill,5086605000,107100,47494,12,8925,14714908.24,137.3941012
Douglas,4698282000,110980,42334,16,6936,14039923.51,126.5085917
Benton,4534024000,93053,48725,15,6204,11290678.54,121.3359971
Josephine,3810451000,87487,43554,11,7953,12331177.75,140.9486867
Polk,3692806000,86085,42897,11,7826,7509699.15,87.23586165
Umatilla,3268316000,77950,41928,4,19488,11665990.12,149.6599117
Coos,2994046000,64487,46429,24,2687,13490127.66,209.1914287
Klamath,2839572000,68238,41613,5,13648,6415072.51,94.01026569
Columbia,2409293000,52354,46019,11,4759,8502053.25,162.3954855
Lincoln,2294997000,49962,45935,24,2082,16927104.39,338.7995755
Clatsop,1893791000,40224,47081,19,2117,12218496.84,303.7613574
Hood River,1316983000,23382,56325,6,3897,5034645.06,215.3214036
Tillamook,1240385000,27036,45879,11,2458,7356489.03,272.099757
Wasco,1163239000,26682,43596,5,5336,4537857.53,170.0718661
Malheur,1057034000,30571,34576,9,3397,20271094.57,663.0824824
Curry,1042502000,22925,45474,11,2084,8988198.9,392.0697448
Jefferson,866858000,24658,35155,5,4932,3884162.34,157.5213862
Baker,685166000,16124,42494,4,4031,30174052.05,1871.375096
Lake,340162000,7869,43228,2,3934,1257931.14,159.859085
Wallowa,331884000,7208,46044,1,7208,546632.53,75.83692148
Harney,309164000,7393,41818,2,3696,1681708.11,227.4730299
Grant,308754000,7199,42888,1,7199,868447.09,120.6344062
