dispensary_name,postal_city,county,full_address,long,lat
420Ville,Huntington,Baker,"210 W. Washington St. , Huntington, Or",-117.2711377,44.3509449
Hotbox Farms,Huntington,Baker,"120 E Washington St , Huntington, Or",-117.2661845,44.3511435
Sumpter Nugget,Sumpter,Baker,"160 N. Mill Street, Suite #102 , Sumpter, Or",-118.2021633,44.7457069
The Coughie Pot,Sumpter,Baker,"363 B South Mill Street Po Box 74, Sumpter, Or",-118.2023311,44.7430577
Beatnick'S Finest,Corvallis,Benton,"126 Sw Avery Ave , Corvallis, Or",-123.2661048,44.5516046
Beaver Bowls,Corvallis,Benton,"227 Sw 6Th St , Corvallis, Or",-123.2645768,44.5635576
Bloominati Cannabis Corp,Corvallis,Benton,"240 Sw Washington Ave , Corvallis, Or",-123.2623093,44.5600393
Green Room,Corvallis,Benton,"2521 Nw 9Th St , Corvallis, Or",-123.2516316,44.5934984
Green Room (Campus),Corvallis,Benton,"111 Nw 16Th St , Corvallis, Or",-123.2737373,44.5678658
Green Room (South),Corvallis,Benton,"1665 Se 3Rd St , Corvallis, Or",-123.2650162,44.5496797
High Quality Compassion,Corvallis,Benton,"1300 Nw 9Th St , Corvallis, Or",-123.2610086,44.5785016
High Quality Compassion,Corvallis,Benton,"1435 Nw 9Th St. , Corvallis, Or",-123.2585034,44.5810857
Marie Janes Cannabis Connection,Corvallis,Benton,"568 Sw 3Rd St. , Corvallis, Or",-123.2638206,44.5596547
Miracle Greens,Corvallis,Benton,"220 Nw 2Nd St , Corvallis, Or",-123.2592622,44.5655749
Mr. Nice Guy - 3Rd St,Corvallis,Benton,"504 Nw 3Rd St , Corvallis, Or",-123.2591208,44.5685385
Mr. Nice Guy Corvallis,Corvallis,Benton,"687 Sw 15Th St. , Corvallis, Or",-123.2739832,44.5613206
Nature'S Path,Corvallis,Benton,"711 Nw 3Rd St. , Corvallis, Or",-123.2576389,44.5700547
Sativa'S Place,Corvallis,Benton,"1106 Nw Vanburen , Corvallis, Or",-123.2688236,44.5684373
The Agrestic North Inc,Corvallis,Benton,"1945 Nw 9Th St , Corvallis, Or",-123.2549424,44.5876489
Oregon Bud Company ,Clackamas,Clackamas,"16631 Se 82Nd Dr , Clackamas, Or",-122.5695976,45.4023444
Stoney Only Clackamas,Clackamas,Clackamas,"10289 Se Hwy 212 , Clackamas, Or",-122.5579314,45.408242
Chalice Farms,Damascus,Clackamas,"15252 Se Highway 224, Suite B , Damascus, Or",-122.5054354,45.408865
Green Apple Nw,Damascus,Clackamas,"24180 Se Borges Rd #A , Damascus, Or",-122.4141971,45.4547322
Hashstoria,Gladstone,Clackamas,"17763 Se 82Nd Dr Ste D , Gladstone, Or",-122.5744239,45.3945219
Electric Lettuce Sunnyside,Happy Valley,Clackamas,"16416 Se Sunnyside Road , Happy Valley, Or",-122.4942589,45.426738
Stumptown Cannabis ,Happy Valley,Clackamas,"10587 Se 82Nd Ave , Happy Valley, Or",-122.5792684,45.4463511
Little Amsterdam Wellness Center,Milwaukie,Clackamas,"18819 Se Mcloughlin Boulevard , Milwaukie, Or",-122.6096771,45.3862521
Maritime Cafe,Milwaukie,Clackamas,"17417 Se Mcloughlin Blvd. , Milwaukie, Or",-122.6179271,45.3963789
Nectar,Milwaukie,Clackamas,"6335 Se Harmony Road , Milwaukie, Or",-122.5976858,45.4322163
"Nectar Markets, Llc",Milwaukie,Clackamas,"13800 Se Mcloughlin Blvd , Milwaukie, Or",-122.6330071,45.4234172
Paradise Found,Milwaukie,Clackamas,"10655 Se 42Nd Avenue , Milwaukie, Or",-122.6198741,45.446227
The Green Planet,Milwaukie,Clackamas,"15080 Se Mcloughlin Blvd  , Milwaukie, Or",-122.6302029,45.4146018
"Today'S Herbal Choice Milwaukie, Llc",Milwaukie,Clackamas,"3087 Se Monroe St , Milwaukie, Or",-122.6301321,45.4455794
Top Hat Express,Milwaukie,Clackamas,"11916 Se 22Nd Avenue Suite B, Milwaukie, Or",-122.6407998,45.4377713
Bigfoot Bud Company,Molalla,Clackamas,"109 West Main Street , Molalla, Or",-122.5775454,45.1477985
"Today'S Herbal Choice, Inc.",Molalla,Clackamas,"31568 S Hwy 213 , Molalla, Or",-122.606552,45.149632
Cannabis Nation Oregon City,Oregon City,Clackamas,"1128 Main St , Oregon City, Or",-122.6031821,45.3604722
Electric Lettuce Oregon City,Oregon City,Clackamas,"1279 Molalla Ave , Oregon City, Or",-122.5905887,45.3371899
Five Zero Trees Oregon City,Oregon City,Clackamas,"719 Main St  , Oregon City, Or",-122.6078166,45.3583454
Gnome Grown Oregon,Oregon City,Clackamas,"2005 Beavercreek Rd. , Oregon City, Or",-122.5814376,45.3330731
Gnome Grown Oregon,Oregon City,Clackamas,"719 Molalla Ave , Oregon City, Or",-122.5964083,45.3453883
Kaleafa,Oregon City,Clackamas,"19197 S Molalla Avenue , Oregon City, Or",-122.585007,45.3283947
West,Oregon City,Clackamas,"921 7Th St.  , Oregon City, Or",-122.6015973,45.3548725
Wild West Emporium,Oregon City,Clackamas,"222 Molalla Ave , Oregon City, Or",-122.5970548,45.3488438
Electric Lettuce Sandy,Portland,Clackamas,"2026 Ne Sandy Blvd , Portland, Or",-122.6448376,45.5259373
Green Lion,Portland,Clackamas,"7000 Se Johnson Creek Blvd. , Portland, Or",-122.5905128,45.4557907
Green Stop Meds,Portland,Clackamas,"17030 Se Mcloughlin Blvd , Portland, Or",-122.6194804,45.400655
Mount Hood Cannabis Company,Rhododendron,Clackamas,"73410 Us-26 , Rhododendron, Or",-121.9092306,45.3269656
Smoke On The Mountain Llc,Welches,Clackamas,"23860 E Arrah Wanna Blvd , Welches, Or",-121.9731087,45.350362
Five Zero Trees Astoria,Astoria,Clatsop,"1169 Commercial St , Astoria, Or",-123.8307203,46.1889057
Hashstoria,Astoria,Clatsop,"229 W Marine Dr #C, Astoria, Or",-123.8482455,46.1894671
