,2019_months,2019_sales,2020_months,2020_sales
0,2019-01-01,54280992.31,2020-01-01,68653599.9
1,2019-02-01,52773889.66,2020-02-01,69788785.58
2,2019-03-01,62119814.93000001,2020-03-01,84863480.47999999
3,2019-04-01,62369873.760000005,2020-04-01,89747591.62
4,2019-05-01,64574747.52,2020-05-01,103437574.34
5,2019-06-01,66593082.79000001,2020-06-01,100490240.53
6,2019-07-01,73144531.4,2020-07-01,106619102.02000001
7,2019-08-01,79371526.47,2020-08-01,103897664.94000001
8,2019-09-01,71611294.57,2020-09-01,97939284.21000001
9,2019-10-01,70857737.06,2020-10-01,99128982.03
10,2019-11-01,68507652.84,2020-11-01,89971220.12
11,2019-12-01,68928674.28,2020-12-01,95983197.46000001
